ID_105929	Die Teenagerin verkaufte der Freundin den Ausweis. Der war gefälscht.
ID_106825	Die Anwältin erklärte dem Mandanten die Beweislage. Er war nun perfekt vorbereitet.
ID_107216	Der Chirurg besorgte der Ärztin die Stelle. Er hatte nämlich nützliche Kontakte.
ID_107488	Die Regisseurin empfahl dem Schauspieler die Fernsehserie. Der sah gern Komödien.
ID_106163	Der Unternehmer stellte der Bankangestellten den Kostenplan. Diese war dabei sehr konzentriert.
ID_107640	Die Türsteherin verweigerte dem Besucher den Zutritt. Die war etwas unhöflich.
ID_107781	Der Wächter hat der Schwägerin den Geheimcode. Sie war glücklicherweise schon betrunken.
ID_107161	Die Tante leitete dem Neffen den Videoclip. Sie mochte witzige Katzenvideos.
ID_106617	Der Eigentümer vermietete der Anwohnerin die Parkfläche. Er war froh über den langfristigen Vertrag.
ID_106961	Der Vater kaufte dem Sohn die Zuckerwatte. Diese schmeckte nach Erdbeeren.
ID_107082	Der Hotelmanager beschaffte dem Urlauber die Massage. Die war sogar ermäßigt.
ID_107282	Der Dieb entwendete der Touristin die Handtasche. Der war dabei sehr aggressiv.
ID_107718	Der Verkäufer lieh der Interessentin den Autoschlüssel. Diese war voller Hoffnung.
ID_107368	Die Kollegin führte dem Neuen die Prozedur. Dieser war sehr konzentriert.
ID_107619	Der Lieferant reichte dem Floristen die Rechnung. Sie war ganz zerknittert.
ID_107557	Der Chef garantierte dem Angestellten die Gehaltserhöhung. Diese war längst überfällig.
ID_106013	Die Enkelin malte dem Großvater den Garten. Sie wurde erst am späten Abend langsam müde.
ID_107966	Die Arbeitgeberin zeigte der Bewerberin den Arbeitsvertrag. Er war ohne Zweifel rechtsgültig.
ID_107102	Der Lehrer kündigte der Rektorin die Pensionierung. Dieser war dabei etwas traurig.
ID_106215	Der Mitarbeiter nahm der Opernsängerin den Mantel. Sie fand das angemessen.
ID_107837	Der Vermieter schickte der Mieterin den Mietvertrag. Die hat nämlich vergessen, zu unterschreiben.
ID_105870	Die Künstlerin vererbte der Musikerin den Besitz. Der bestand aus Geldwerten und Grundstücken.
ID_106890	Die Gastgeberin organisierte dem Redner die Hotelsuite. Der freute sich über die Einladung.
ID_106280	Der Klient überwies der Detektivin den Betrag. Die war bekanntlich sehr diskret.
ID_106497	Die Inhaberin bot dem Mitarbeiter den Umzugswagen. Diese wollte sich das Wochenende ohnehin frei nehmen.
ID_106558	Der Schüler zeigte der Sitznachbarin die Formel. Dieser war schon immer sehr nett.
ID_107914	Die Studentin stahl der Dozentin den Laptop. Dieser war allerdings ohnehin defekt.
ID_106681	Der Therapeut gewöhnte der Patientin die Marotte. Der war sehr bemüht.
ID_106489	Der Autor widmete dem Verlobten die Novelle. Die war ein Verkaufshit.
ID_107022	Der Lieferant baute dem Kunden die Kommode. Sie war sehr geräumig.
ID_105967	Die Archäologin präsentierte dem Museumsdirektor den Fund. Diese war sehr aufgeregt.
ID_106770	Die Betrügerin raubte dem König die Krone. Dieser war leider unvorsichtig.
ID_106363	Die Friseurin erzählte der Neukundin den Sonntagswitz. Dieser handelte von drei Waschbären und einem Anwalt.
ID_107420	Die Schneiderin nähte dem Klienten die Jacke. Er investierte viel Geld.
ID_106072	Die Käuferin schuldete dem Händler den Kaufpreis. Die war telefonisch nicht erreichbar.
ID_106429	Die Krankenpflegerin wusch der Patientin den Rücken. Er war etwas schuppig.
