ID_101351	Der Soldat will den Kameraden überraschen. Er ist	Er ist ein guter Freund des Kameraden.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Soldat".
ID_101366	Der Mieter will den Maler bezahlen. Er ist	Er ist zufrieden mit der geleisteten Arbeit.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Der Mieter".
ID_101276	Den Professor soll der Doktorand vertreten. Er hat	Er hat eine Konferenz besuchen müssen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Doktorand.
ID_101221	Den Dozenten will der Student treffen. Dieser hat	Dieser hat eine Frage zu seinem Vorlesungsthema.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Student"
ID_101336	Der Abiturient will den Besucher erschrecken. Dieser ist	Dieser ist ein Maskottchen in Form eines Fisches.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den "Besucher"
ID_101236	Den Sohn will der Vater küssen. Dieser hat	Dieser hat gerade seinen 18. Geburtstag.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Sohn.
ID_101246	Den Jungen will der Babysitter tadeln. Dieser hat	Dieser hat gerade eine Tasse Milch auf den Teppich geschüttet.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Jungen.
ID_101271	Den Koch soll der Ober loben. Er hat	Er hat heute ein hervorragendes Menü zubereitet.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf "Koch"
ID_101291	Der Vorgesetzte will den Assistenten suchen. Der hat	Der hat eine wichtige Entscheidung getroffen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf den Assistenten.
ID_101311	Der Fahrer will den Anfänger überholen. Dieser ist	Dieser ist auf der rechten Spur.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Anfänger.
ID_101301	Der Trainer will den Sieger ehren. Der hat	Der hat den Wettbewerb gewonnen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf den Sieger.
ID_101306	Der Pfleger soll den Opa baden. Der hat	Der hat eine Infektion an den Beinen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Opa"
ID_101346	Der Pförtner soll den Hausmeister benachrichtigen. Er ist	Er ist verletzt worden.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Hausmeister.
ID_101281	Der Lehrer will den Klassensprecher loben. Der hat	Der hat in der letzten Klasse ausgezeichnete Leistungen gezeigt.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Klassensprecher"
ID_101261	Den Direktor will der Schüler begrüßen. Er hat	Er hat vor kurzem die Schule verlassen und möchte den Direktor als Abschiedsritual begrüßen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Schüler bezieht sich das "Er" im ergänzten Satz.
ID_101216	Den Chef will der Sekretär stören. Der ist	Der ist sehr ungeduldig.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Chef"
ID_101206	Den Dieb soll der Verkäufer anzeigen. Der ist	Der ist im Ladengeschäft.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Verkäufer"
ID_101201	Den Angeklagten will der Anwalt kontrollieren. Der ist	Der ist von einem Unfall betroffen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Angeklagten"
ID_101241	Den Patienten will der Arzt untersuchen. Dieser ist	Dieser ist von einem Unfall verletzt worden.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Patienten, der von einem Unfall verletzt worden ist.
ID_101286	Der Auszubildende soll den Buchhalter sehen. Der hat	Der hat einen Unfall gehabt.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Buchhalter"
ID_101341	Der Sanitäter muss den Verletzten tragen. Er ist	von einem Auto angefahren worden.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Verletzten bezieht sich das "Er" in dem ergänzten Satz.
ID_101316	Der Kellner soll den Gast bedienen. Dieser ist	Dieser ist hungrig und durstig.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf "Gast"
ID_101226	Den Schauspieler will der Regisseur unterstützen. Dieser hat	Dieser hat eine schwierige Szene, die er meistern möchte.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Regisseur bezieht sich "Dieser" im ergänzten Satz.
ID_101266	Den Clown will der Komödiant einladen. Er hat	Er hat eine Einladung für den Clown vorbereitet.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Komödiant.
ID_101296	Der Bodyguard will den Star verstecken. Der hat	Der hat eine Bedrohung durch einen Schläfer erhalten.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Star" bezieht sich das "Der" im ergänzten Satz.
ID_101196	Den Ordnungshüter soll der Passant informieren. Der ist	Der ist betrunken.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Passant".
ID_101321	Der Kunde will den Fachmann aufsuchen. Dieser ist	Dieser ist verreist.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Fachmann.
ID_101211	Den Politiker will der Künstler zeichnen. Der ist	Der ist ein bekannter Politiker.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Politiker".
ID_101231	Den Bewerber soll der Manager einstellen. Dieser hat	Dieser hat eine hervorragende Leistung in der Bewerbungsunterlage gezeigt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Bewerber.
ID_101191	Den Reiseleiter will dern Busfahrer wecken. Der ist	Der ist seit langem nicht mehr wach.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Auf "Busfahrer".
ID_101331	Der Steuerberater will den Geschäftsmann warnen. Dieser ist	Dieser ist auf eine mögliche Investition eingegangen, die risikoreich sein könnte.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Geschäftsmann bezieht sich das "Dieser" in dem Satz.
ID_101256	Den Raser will der Polizist prüfen. Er hat	Er hat vorherige Verkehrsverstöße begangen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Raser, der von der Polizei kontrolliert wird.
ID_101251	Den Abenteurer soll der Journalist fotografieren. Er hat	Er hat eine besondere Geschichte zu erzählen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Abenteurer.
ID_101356	Der Wachmann will den Angestellten retten. Er ist	Er ist in einer schwierigen Situation.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Angestellten.
ID_101326	Der Samariter soll den Kranken pflegen. Dieser ist	Dieser ist von einem Unfall betroffen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	Auf den Kranken, der von einem Unfall betroffen ist.
ID_101361	Der Bäckermeister will den Unruhestifter melden. Er ist	Er ist ein regelmäßiger Kunde des Bäckerei Ladens.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Auf den Unruhestifter.
